date,temperature_2m_mean,precipitation_sum,et0_fao_evapotranspiration,region,temperature_2m,precipitation,weather_code,wind_speed_10m,relative_humidity_2m,temperature_2m_mean_lag1,temperature_2m_mean_lag7,temperature_2m_mean_rollmean3,temperature_2m_mean_rollmean7,precipitation_sum_lag1,precipitation_sum_lag7,precipitation_sum_rollmean3,precipitation_sum_rollmean7,et0_fao_evapotranspiration_lag1,et0_fao_evapotranspiration_lag7,et0_fao_evapotranspiration_rollmean3,et0_fao_evapotranspiration_rollmean7,temperature_2m_lag1,temperature_2m_lag7,temperature_2m_rollmean3,temperature_2m_rollmean7,precipitation_lag1,precipitation_lag7,precipitation_rollmean3,precipitation_rollmean7,weather_code_lag1,weather_code_lag7,weather_code_rollmean3,weather_code_rollmean7,wind_speed_10m_lag1,wind_speed_10m_lag7,wind_speed_10m_rollmean3,wind_speed_10m_rollmean7,relative_humidity_2m_lag1,relative_humidity_2m_lag7,relative_humidity_2m_rollmean3,relative_humidity_2m_rollmean7,wine_quality_score
2025-01-14,2.4,27.6,0.18,Nemea,4.470833333333333,0.5458333333333333,,12.191666666666668,89.04166666666667,,,2.4,2.4,,,27.6,27.6,,,0.18,0.18,5.7619996,5.1619997,5.7619996,5.5953331333333365,0.2,0.3,0.2499999999999986,0.2833333333333312,51.0,51.0,51.0,51.333333333333336,16.840345,12.452566,17.087317500000026,16.584890500000004,83.96643,91.634964,84.26379999999995,85.26406500000002,4
2025-01-15,2.3,8.6,0.31,Nemea,4.425,0.08750000000000001,,6.016666666666667,86.04166666666667,,,2.3,2.3,,,8.6,8.6,,,0.31,0.31,4.612,4.462,4.786999999999912,4.836999933333336,0.0,0.4,0.0,0.3333333333333312,2.0,51.0,2.5,35.833333333333336,8.731391,12.815443,10.240566000000026,10.82019475,85.334816,91.26654,84.75225299999994,86.44833533333333,3
2025-01-16,4.8,2.4,0.2,Nemea,6.3999999999999995,0.0375,,7.395833333333333,88.66666666666667,,,4.8,4.8,,,2.4,2.4,,,0.2,0.2,6.862,6.812,6.911999999999912,6.795333216666669,0.0,0.4,0.0,0.1666666666666646,3.0,51.0,3.0,35.333333333333336,4.942631,6.6818557,4.638802650000027,4.965499516666668,89.542854,87.079865,89.23693449999993,90.01184816666667,4
2025-01-17,5.7,0.0,1.19,Nemea,6.891666666666667,0.03333333333333333,,11.075000000000001,81.95833333333333,,,5.7,5.7,,,0.0,0.0,,,1.19,1.19,7.7619996,8.162,7.836999649999912,7.920333216666669,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,9.144637,8.759178,9.267869500000026,9.107462333333336,84.78783,87.209625,84.94345499999993,86.44277833333332,3
2025-01-18,6.4,0.0,1.46,Nemea,7.620833333333334,0.0,,4.583333333333333,73.91666666666667,,,6.4,6.4,,,0.0,0.0,,,1.46,1.46,6.112,8.062,6.161999999999911,6.586999950000003,0.0,0.0,0.0,0.0333333333333312,1.0,3.0,1.0,10.333333333333334,4.5891175,7.79215,3.968655450000027,4.694012316666669,81.38309,81.078224,81.82294199999993,83.046652,3
2025-01-19,7.4,0.0,1.74,Nemea,8.104166666666666,0.0,,3.170833333333333,62.541666666666664,,,7.4,7.4,,,0.0,0.0,,,1.74,1.74,6.9119997,8.762,7.061999849999912,7.64533316666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,2.995797,0.9900000000000256,1.235385766666669,75.14138,80.61306,75.70226249999993,78.06352583333332,3
2025-01-20,7.8,0.3,1.51,Nemea,8.8375,0.0,,4.808333333333334,63.666666666666664,,,7.8,7.8,,,0.3,0.3,,,1.51,1.51,7.362,8.962,7.511999849999911,8.045333283333335,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.833333333333333,1.3104197,1.0182338,1.1052098500000267,1.1508861500000025,68.34417,70.14341,67.89152999999993,67.80250333333333,3
2025-01-21,7.9,0.9,0.72,Nemea,9.200000000000001,0.19583333333333333,,4.645833333333333,82.04166666666667,,,7.9,7.9,,,0.9,0.9,,,0.72,0.72,8.862,10.362,8.887000499999912,9.370333666666667,0.0,0.0,1.5499999999999987,0.6666666666666646,3.0,3.0,33.0,21.33333333333333,1.4399999,5.4477882,1.8584198000000272,2.598888633333336,82.31686,79.73429,82.89182999999993,82.29038666666666,4
2025-01-22,8.1,0.0,1.66,Nemea,8.820833333333333,0.041666666666666664,,6.120833333333334,81.54166666666667,,,8.1,8.1,,,0.0,0.0,,,1.66,1.66,7.212,8.962,7.236999799999911,7.761999866666669,0.0,0.0,0.0999999999999986,0.0333333333333312,2.0,1.0,26.5,10.5,4.846648,4.846648,4.600133300000027,3.279192116666669,90.19306,93.45209,90.66518999999992,91.27536833333332,3
2025-01-23,8.1,0.0,1.66,Nemea,9.020833333333334,0.0,,5.6625000000000005,75.625,,,8.1,8.1,,,0.0,0.0,,,1.66,1.66,5.862,9.462,5.936999799999912,7.320333266666669,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.3333333333333333,3.06,0.17999999,3.5862587000000263,2.659178600000002,89.150185,86.14763,89.78424449999991,88.9320915,3
2025-01-24,9.8,0.0,1.05,Nemea,10.395833333333334,0.6083333333333333,,5.245833333333334,84.70833333333333,,,9.8,9.8,,,0.0,0.0,,,1.05,1.05,7.812,10.962,7.812,8.670333283333335,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.833333333333333,1.2727921,1.2074767,1.4854543000000269,1.672821250000002,90.86127,79.00746,91.64908499999991,88.58717,5
2025-01-25,10.0,0.0,1.78,Nemea,10.1,0.0,,3.516666666666667,71.16666666666667,,,10.0,10.0,,,0.0,0.0,,,1.78,1.78,9.112,12.412001,9.461999999999913,10.612000166666668,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.8333333333333334,1.3104197,1.2979984,0.9398148150000268,0.7014907600000025,79.27898,85.86873,79.88003699999993,82.87800566666665,4
2025-01-26,8.7,0.0,1.35,Nemea,9.879166666666666,0.0,,2.891666666666667,82.16666666666667,,,8.7,8.7,,,0.0,0.0,,,1.35,1.35,9.512,12.462,9.886999999999912,10.887000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3051248,0.9,1.534400065000027,1.1874301383333357,86.152725,78.69441,85.75348249999993,83.26435416666666,4
2025-01-27,9.6,0.0,1.61,Nemea,10.370833333333334,0.0,,4.3125,86.33333333333333,,,9.6,9.6,,,0.0,0.0,,,1.61,1.61,8.212,11.412001,8.411999999999912,9.18700016666667,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,6.1569467,4.7827187,6.466348350000027,6.655312583333337,94.699814,92.02516,94.54706949999994,94.73947583333334,4
2025-01-28,8.8,0.0,1.64,Nemea,9.112499999999999,0.0,,4.466666666666667,75.5,,,8.8,8.8,,,0.0,0.0,,,1.64,1.64,6.812,11.712,7.336999999999912,9.037000166666669,0.0,0.0,0.0,0.0,3.0,0.0,1.5,0.5,1.1525624,1.9386592,1.2792036500000272,1.6468556500000024,100.0,90.82333,99.66079499999996,96.03486516666668,3
2025-01-29,9.9,0.0,1.81,Nemea,10.266666666666667,0.0,,8.604166666666666,76.20833333333333,,,9.9,9.9,,,0.0,0.0,,,1.81,1.81,7.362,11.562,7.686999999999911,9.253667000000002,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.9477081,0.8049845,3.596352050000027,2.3272701333333354,81.551216,86.65059,81.02986799999994,80.78029316666668,4
2025-01-30,10.5,1.5,1.26,Nemea,10.6,0.025000000000000005,,6.616666666666667,79.5,,,10.5,10.5,,,1.5,1.5,,,1.26,1.26,10.362,12.212,10.512000499999912,10.945333500000004,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.5,7.928178,7.040739,8.284089000000026,7.769093100000002,97.0375,84.42187,96.39661999999994,92.0230375,5
2025-01-31,9.2,0.0,1.66,Nemea,10.495833333333334,0.008333333333333333,,6.158333333333334,82.875,,,9.2,9.2,,,0.0,0.0,,,1.66,1.66,7.962,10.312,8.086999999999914,8.820333500000002,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.8333333333333334,2.5772076,1.484318,2.342026750000025,1.4941029166666688,92.44561,94.785126,92.77039699999996,94.72923883333334,4
2025-02-01,9.3,0.0,1.85,Nemea,10.133333333333333,0.0,,3.7416666666666667,73.91666666666667,,,9.3,9.3,,,0.0,0.0,,,1.85,1.85,8.862,11.662001,9.236999999999911,10.078666666666669,0.0,0.0,0.0,0.0,2.0,0.0,1.5,1.0,0.742159,1.5379207,0.6955791000000249,1.1252711333333358,85.79084,86.95182,85.97688299999993,86.89673016666666,3
2025-02-02,8.8,0.0,1.69,Nemea,9.304166666666667,0.0,,5.045833333333333,79.54166666666667,,,8.8,8.8,,,0.0,0.0,,,1.69,1.69,9.212,12.112,9.386999999999912,9.912000166666669,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.833333333333333,1.1384199,2.7238941,1.5385395500000247,3.3605888500000027,86.12204,78.908875,85.99300499999995,84.74909333333333,3
